intention,split,message
expiration_d_une_api,train,"Bonjour, je souhaiterais le document provisoire (récépissé ou API, Attestation de Prolongation d'Instruction) que le demandeur a obtenu au moment de sa demande de titre de séjour a expiré ou va bientôt expirer."
expiration_d_une_api,train,"Madame, Monsieur, je souhaiterais le document provisoire (récépissé ou API, Attestation de Prolongation d'Instruction) que le demandeur a obtenu au moment de sa demande de titre de séjour a expiré ou va bientôt expirer."
expiration_d_une_api,train,"Bonjour la préfecture, je souhaiterais le document provisoire (récépissé ou API, Attestation de Prolongation d'Instruction) que le demandeur a obtenu au moment de sa demande de titre de séjour a expiré ou va bientôt expirer."
expiration_d_une_api,train,"Mesdames, Messieurs, je souhaiterais le document provisoire (récépissé ou API, Attestation de Prolongation d'Instruction) que le demandeur a obtenu au moment de sa demande de titre de séjour a expiré ou va bientôt expirer."
expiration_d_une_api,train,"À l'attention du service des étrangers, je souhaiterais le document provisoire (récépissé ou API, Attestation de Prolongation d'Instruction) que le demandeur a obtenu au moment de sa demande de titre de séjour a expiré ou va bientôt expirer."
expiration_d_une_api,test,"Service compétent, bonjour, je souhaiterais le document provisoire (récépissé ou API, Attestation de Prolongation d'Instruction) que le demandeur a obtenu au moment de sa demande de titre de séjour a expiré ou va bientôt expirer."
expiration_d_une_api,test,"Salutations, je souhaiterais le document provisoire (récépissé ou API, Attestation de Prolongation d'Instruction) que le demandeur a obtenu au moment de sa demande de titre de séjour a expiré ou va bientôt expirer."
expiration_d_une_api,test,"Bonjour à toute l'équipe, je souhaiterais le document provisoire (récépissé ou API, Attestation de Prolongation d'Instruction) que le demandeur a obtenu au moment de sa demande de titre de séjour a expiré ou va bientôt expirer."
expiration_d_une_api,test,"Madame, Monsieur le Préfet, je souhaiterais le document provisoire (récépissé ou API, Attestation de Prolongation d'Instruction) que le demandeur a obtenu au moment de sa demande de titre de séjour a expiré ou va bientôt expirer."
expiration_d_une_api,test,"Cher service étranger, je souhaiterais le document provisoire (récépissé ou API, Attestation de Prolongation d'Instruction) que le demandeur a obtenu au moment de sa demande de titre de séjour a expiré ou va bientôt expirer."
depot_de_demande_d_asile,train,"Bonjour, je souhaiterais exprime qu'il souhaite déposer une demande de droit d'asile."
depot_de_demande_d_asile,train,"Madame, Monsieur, je souhaiterais exprime qu'il souhaite déposer une demande de droit d'asile."
depot_de_demande_d_asile,train,"Bonjour la préfecture, je souhaiterais exprime qu'il souhaite déposer une demande de droit d'asile."
depot_de_demande_d_asile,train,"Mesdames, Messieurs, je souhaiterais exprime qu'il souhaite déposer une demande de droit d'asile."
depot_de_demande_d_asile,train,"À l'attention du service des étrangers, je souhaiterais exprime qu'il souhaite déposer une demande de droit d'asile."
depot_de_demande_d_asile,test,"Service compétent, bonjour, je souhaiterais exprime qu'il souhaite déposer une demande de droit d'asile."
depot_de_demande_d_asile,test,"Salutations, je souhaiterais exprime qu'il souhaite déposer une demande de droit d'asile."
depot_de_demande_d_asile,test,"Bonjour à toute l'équipe, je souhaiterais exprime qu'il souhaite déposer une demande de droit d'asile."
depot_de_demande_d_asile,test,"Madame, Monsieur le Préfet, je souhaiterais exprime qu'il souhaite déposer une demande de droit d'asile."
depot_de_demande_d_asile,test,"Cher service étranger, je souhaiterais exprime qu'il souhaite déposer une demande de droit d'asile."
ou_en_est_ma_demande_d_asile_en_cours,train,"Bonjour, je souhaiterais souhaite savoir où sa demande d'asile en est."
ou_en_est_ma_demande_d_asile_en_cours,train,"Madame, Monsieur, je souhaiterais souhaite savoir où sa demande d'asile en est."
ou_en_est_ma_demande_d_asile_en_cours,train,"Bonjour la préfecture, je souhaiterais souhaite savoir où sa demande d'asile en est."
ou_en_est_ma_demande_d_asile_en_cours,train,"Mesdames, Messieurs, je souhaiterais souhaite savoir où sa demande d'asile en est."
ou_en_est_ma_demande_d_asile_en_cours,train,"À l'attention du service des étrangers, je souhaiterais souhaite savoir où sa demande d'asile en est."
ou_en_est_ma_demande_d_asile_en_cours,test,"Service compétent, bonjour, je souhaiterais souhaite savoir où sa demande d'asile en est."
ou_en_est_ma_demande_d_asile_en_cours,test,"Salutations, je souhaiterais souhaite savoir où sa demande d'asile en est."
ou_en_est_ma_demande_d_asile_en_cours,test,"Bonjour à toute l'équipe, je souhaiterais souhaite savoir où sa demande d'asile en est."
ou_en_est_ma_demande_d_asile_en_cours,test,"Madame, Monsieur le Préfet, je souhaiterais souhaite savoir où sa demande d'asile en est."
ou_en_est_ma_demande_d_asile_en_cours,test,"Cher service étranger, je souhaiterais souhaite savoir où sa demande d'asile en est."
expiration_d_une_atda,train,"Bonjour, je souhaiterais l'ATDA du demandeur va expirer ou a déjà expiré."
expiration_d_une_atda,train,"Madame, Monsieur, je souhaiterais l'ATDA du demandeur va expirer ou a déjà expiré."
expiration_d_une_atda,train,"Bonjour la préfecture, je souhaiterais l'ATDA du demandeur va expirer ou a déjà expiré."
expiration_d_une_atda,train,"Mesdames, Messieurs, je souhaiterais l'ATDA du demandeur va expirer ou a déjà expiré."
expiration_d_une_atda,train,"À l'attention du service des étrangers, je souhaiterais l'ATDA du demandeur va expirer ou a déjà expiré."
expiration_d_une_atda,test,"Service compétent, bonjour, je souhaiterais l'ATDA du demandeur va expirer ou a déjà expiré."
expiration_d_une_atda,test,"Salutations, je souhaiterais l'ATDA du demandeur va expirer ou a déjà expiré."
expiration_d_une_atda,test,"Bonjour à toute l'équipe, je souhaiterais l'ATDA du demandeur va expirer ou a déjà expiré."
expiration_d_une_atda,test,"Madame, Monsieur le Préfet, je souhaiterais l'ATDA du demandeur va expirer ou a déjà expiré."
expiration_d_une_atda,test,"Cher service étranger, je souhaiterais l'ATDA du demandeur va expirer ou a déjà expiré."
